BEANS PER JAR,JARS,TOTAL BEANS
492,272,133824
652,22,14344
802,836,670472
957,155,148335
148,93,13764
383,677,259291
66,874,57684
18,223,4014
228,229,52212
128,654,83712
110,336,36960
693,416,288288
89,383,34087
940,910,855400
796,810,644760
155,464,71920
595,934,555730
873,428,373644
658,265,174370
34,877,29818
690,252,173880
10,640,6400
586,704,412544
985,333,328005
205,877,179785
215,968,208120
454,297,134838
839,421,353219
933,187,174471
101,985,99485
642,604,387768
929,884,821236
59,729,43011
530,771,408630
737,967,712679
751,124,93124
739,172,127108
803,356,285868
596,457,272372
710,1,710
983,373,366659
855,318,271890
374,147,54978
980,6,5880
962,969,932178
926,316,292616
758,377,285766
571,915,522465
360,852,306720
412,549,226188
208,421,87568
311,604,187844
986,802,790772
138,447,61686
711,920,654120
721,788,568148
595,488,290360
491,19,9329
35,439,15365
264,922,243408
591,279,164889
238,600,142800
616,129,79464
503,437,219811
397,956,379532
313,435,136155
998,9,8982
624,581,362544
830,380,315400
390,173,67470
360,543,195480
528,854,450912
136,899,122264
820,487,399340
698,769,536762
281,348,97788
408,13,5304
392,725,284200
951,205,194955
620,733,454460
913,132,120516
726,264,191664
93,861,80073
152,313,47576
564,316,178224
990,262,259380
351,69,24219
839,23,19297
666,346,230436
276,248,68448
760,985,748600
518,817,423206
521,723,376683
817,44,35948
75,916,68700
557,23,12811
583,855,498465
962,533,512746
334,578,193052
242,611,147862
58,495,28710
592,662,391904
144,316,45504
92,578,53176
889,739,656971
555,359,199245
943,206,194258
139,296,41144
774,789,610686
942,504,474768
603,482,290646
207,131,27117
788,213,167844
168,945,158760
920,409,376280
995,782,778090
969,853,826557
261,55,14355
793,296,234728
240,991,237840
240,740,177600
793,532,421876
663,670,444210
17,688,11696
929,619,575051
59,518,30562
977,541,528557
772,909,701748
215,215,46225
347,442,153374
914,340,310760
280,438,122640
556,598,332488
683,723,493809
991,544,539104
284,224,63616
290,929,269410
704,402,283008
145,582,84390
787,148,116476
62,952,59024
102,217,22134
228,651,148428
591,355,209805
228,30,6840
640,90,57600
128,507,64896
311,185,57535
727,995,723365
582,492,286344
247,444,109668
79,179,14141
503,874,439622
853,409,348877
692,740,512080
193,66,12738
962,366,352092
473,443,209539
527,993,523311
617,944,582448
912,825,752400
575,88,50600
120,564,67680
756,849,641844
962,664,638768
432,43,18576
924,18,16632
148,895,132460
787,552,434424
477,51,24327
802,3,2406
653,643,419879
328,767,251576
480,470,225600
743,211,156773
280,885,247800
623,876,545748
846,280,236880
927,905,838935
663,430,285090
588,797,468636
780,243,189540
584,58,33872
717,950,681150
177,287,50799
601,169,101569
291,395,114945
883,727,641941
333,94,31302
557,888,494616
872,340,296480
91,991,90181
856,343,293608
451,210,94710
220,354,77880
345,663,228735
924,243,224532
737,644,474628
514,86,44204
117,507,59319
740,571,422540
975,785,765375
760,816,620160
846,815,689490
695,553,384335
774,633,489942
420,94,39480
809,112,90608
308,669,206052
204,152,31008
822,651,535122
944,429,404976
933,328,306024
597,58,34626
584,158,92272
747,539,402633
496,10,4960
583,542,315986
635,526,334010
181,665,120365
850,784,666400
883,252,222516
534,709,378606
133,114,15162
504,322,162288
25,409,10225
563,357,200991
533,560,298480
168,77,12936
866,2,1732
122,884,107848
905,691,625355
503,252,126756
55,125,6875
997,964,961108
725,555,402375
870,902,784740
221,161,35581
253,597,151041
856,806,689936
70,329,23030
690,306,211140
43,554,23822
380,584,221920
258,413,106554
626,899,562774
424,500,212000
397,743,294971
688,270,185760
723,615,444645
40,963,38520
413,54,22302
322,659,212198
599,353,211447
424,517,219208
964,902,869528
572,69,39468
7,456,3192
129,464,59856
645,288,185760
508,766,389128
592,621,367632
997,22,21934
232,617,143144
75,212,15900
823,346,284758
397,584,231848
815,57,46455
864,449,387936
431,832,358592
485,428,207580
910,239,217490
482,391,188462
279,658,183582
194,407,78958
371,45,16695
269,527,141763
448,985,441280
674,208,140192
851,260,221260
777,90,69930
182,534,97188
741,458,339378
967,277,267859
420,62,26040
106,927,98262
767,605,464035
465,354,164610
890,70,62300
144,417,60048
396,977,386892
123,307,37761
633,435,275355
496,422,209312
837,330,276210
309,679,209811
996,726,723096
915,182,166530
57,630,35910
461,152,70072
98,168,16464
999,837,836163
269,549,147681
391,481,188071
984,934,919056
213,921,196173
967,540,522180
624,361,225264
94,425,39950
529,614,324806
391,393,153663
642,583,374286
77,286,22022
378,808,305424
177,834,147618
942,117,110214
644,775,499100
376,639,240264
741,936,693576
203,449,91147
811,384,311424
436,965,420740
117,854,99918
623,899,560077
636,666,423576
109,919,100171
613,272,166736
623,890,554470
537,198,106326
403,201,81003
455,769,349895
748,543,406164
186,8,1488
135,131,17685
589,334,196726
298,208,61984
314,327,102678
457,162,74034
514,752,386528
883,266,234878
200,660,132000
867,451,391017
702,934,655668
755,661,499055
117,888,103896
578,47,27166
236,83,19588
160,348,55680
911,78,71058
664,565,375160
110,158,17380
684,951,650484
82,760,62320
633,730,462090
290,356,103240
169,415,70135
938,377,353626
872,27,23544
127,328,41656
835,707,590345
182,552,100464
293,965,282745
283,125,35375
211,176,37136
184,947,174248
759,171,129789
321,614,197094
145,211,30595
330,801,264330
780,846,659880
745,723,538635
570,123,70110
981,857,840717
857,104,89128
825,260,214500
143,568,81224
54,554,29916
477,892,425484
703,66,46398
499,532,265468
517,378,195426
606,975,590850
349,173,60377
45,853,38385
802,29,23258
911,298,271478
77,252,19404
618,642,396756
658,408,268464
210,816,171360
228,777,177156
468,299,139932
94,401,37694
459,380,174420
290,721,209090
779,763,594377
93,607,56451
102,417,42534
487,784,381808
521,229,119309
196,790,154840
163,652,106276
435,845,367575
164,356,58384
527,780,411060
178,199,35422
142,42,5964
702,327,229554
839,619,519341
248,515,127720
845,346,292370
160,317,50720
77,44,3388
372,522,194184
36,690,24840
946,113,106898
240,189,45360
689,911,627679
746,137,102202
168,865,145320
932,426,397032
108,800,86400
260,255,66300
534,685,365790
262,489,128118
441,82,36162
712,428,304736
571,484,276364
669,703,470307
108,808,87264
285,776,221160
207,255,52785
735,808,593880
875,899,786625
547,675,369225
954,520,496080
733,376,275608
938,489,458682
41,506,20746
384,615,236160
462,815,376530
411,906,372366
723,524,378852
73,789,57597
535,8,4280
469,518,242942
799,555,443445
560,731,409360
339,555,188145
191,61,11651
563,458,257854
689,969,667641
858,572,490776
906,960,869760
764,252,192528
790,230,181700
771,623,480333
543,681,369783
378,909,343602
701,408,286008
442,772,341224
517,286,147862
749,285,213465
977,165,161205
561,880,493680
439,179,78581
68,760,51680
372,359,133548
135,355,47925
547,848,463856
701,702,492102
794,73,57962
689,48,33072
969,98,94962
651,653,425103
748,794,593912
30,288,8640
226,444,100344
750,124,93000
994,234,232596
691,799,552109
56,115,6440
937,866,811442
128,11,1408
666,114,75924
521,305,158905
990,284,281160
775,46,35650
435,437,190095
540,451,243540
993,140,139020
940,564,530160
887,393,348591
516,631,325596
343,544,186592
659,565,372335
657,363,238491
95,764,72580
10,219,2190
887,971,861277
615,986,606390
843,810,682830
730,247,180310
437,594,259578
596,315,187740
302,314,94828
209,956,199804
955,741,707655
682,164,111848
398,542,215716
805,286,230230
383,967,370361
282,601,169482
344,408,140352
723,288,208224
929,829,770141
962,825,793650
248,911,225928
283,95,26885
6,753,4518
437,679,296723
482,217,104594
465,218,101370
816,978,798048
835,255,212925
65,127,8255
587,479,281173
618,972,600696
902,366,330132
685,363,248655
718,260,186680
750,426,319500
585,818,478530
217,78,16926
543,279,151497
378,396,149688
261,661,172521
601,634,381034
925,728,673400
855,722,617310
921,775,713775
621,758,470718
677,549,371673
194,6,1164
13,532,6916
269,827,222463
321,829,266109
171,812,138852
862,36,31032
180,733,131940
630,755,475650
303,215,65145
616,6,3696
250,15,3750
917,53,48601
603,253,152559
689,763,525707
799,928,741472
646,441,284886
804,520,418080
15,845,12675
436,522,227592
668,877,585836
237,797,188889
303,48,14544
808,29,23432
33,41,1353
753,734,552702
374,222,83028
419,302,126538
509,341,173569
77,21,1617
535,225,120375
414,201,83214
264,305,80520
586,718,420748
261,108,28188
495,756,374220
751,844,633844
844,318,268392
703,973,684019
952,667,634984
138,787,108606
776,26,20176
98,246,24108
359,843,302637
739,838,619282
925,816,754800
603,198,119394
623,978,609294
623,674,419902
883,882,778806
64,943,60352
232,391,90712
657,989,649773
419,764,320116
83,193,16019
719,932,670108
874,892,779608
823,724,595852
581,566,328846
749,420,314580
812,156,126672
726,18,13068
843,679,572397
290,880,255200
187,10,1870
712,875,623000
421,548,230708
623,391,243593
689,310,213590
860,58,49880
341,643,219263
486,651,316386
549,793,435357
607,634,384838
504,316,159264
16,262,4192
633,733,463989
71,695,49345
6,44,264
667,231,154077
454,795,360930
825,779,642675
395,269,106255
866,444,384504
206,177,36462
199,605,120395
273,485,132405
560,959,537040
111,726,80586
800,249,199200
61,491,29951
865,21,18165
420,738,309960
37,497,18389
473,811,383603
234,516,120744
719,159,114321
880,12,10560
14,332,4648
554,140,77560
917,497,455749
297,490,145530
879,559,491361
847,247,209209
918,342,313956
508,466,236728
223,348,77604
684,185,126540
591,511,302001
613,298,182674
62,196,12152
718,512,367616
455,272,123760
899,304,273296
893,616,550088
222,344,76368
713,263,187519
423,975,412425
312,859,268008
313,472,147736
688,2,1376
733,635,465455
244,575,140300
554,703,389462
292,697,203524
375,122,45750
180,567,102060
700,521,364700
956,948,906288
479,421,201659
409,774,316566
992,142,140864
241,56,13496
11,863,9493
492,503,247476
861,408,351288
1,572,572
546,63,34398
585,819,479115
464,955,443120
261,601,156861
705,649,457545
706,983,693998
460,413,189980
335,51,17085
2,278,556
50,416,20800
221,26,5746
81,655,53055
143,219,31317
117,865,101205
694,219,151986
68,421,28628
424,787,333688
893,113,100909
572,74,42328
486,721,350406
567,873,494991
421,477,200817
720,938,675360
343,11,3773
172,34,5848
693,482,334026
324,983,318492
780,691,538980
584,706,412304
612,220,134640
954,160,152640
248,24,5952
508,409,207772
655,326,213530
531,187,99297
940,719,675860
698,810,565380
589,384,226176
504,348,175392
673,370,249010
587,443,260041
424,633,268392
775,989,766475
855,963,823365
713,932,664516
927,898,832446
786,533,418938
231,910,210210
315,772,243180
269,889,239141
646,631,407626
887,461,408907
304,171,51984
258,874,225492
881,846,745326
737,521,383977
973,13,12649
655,515,337325
716,474,339384
199,212,42188
785,313,245705
77,294,22638
192,878,168576
369,832,307008
404,73,29492
289,4,1156
274,427,116998
887,396,351252
810,357,289170
725,631,457475
414,336,139104
525,501,263025
127,976,123952
526,468,246168
880,650,572000
621,405,251505
462,407,188034
708,967,684636
440,752,330880
917,318,291606
513,691,354483
290,948,274920
505,980,494900
148,462,68376
343,721,247303
273,199,54327
753,791,595623
787,241,189667
427,641,273707
195,252,49140
627,719,450813
161,178,28658
645,658,424410
321,331,106251
282,568,160176
827,36,29772
925,732,677100
232,739,171448
758,645,488910
565,783,442395
277,573,158721
949,723,686127
729,457,333153
634,244,154696
52,880,45760
520,893,464360
498,764,380472
494,909,449046
575,152,87400
161,975,156975
226,273,61698
794,864,686016
764,169,129116
463,316,146308
537,194,104178
525,661,347025
14,648,9072
986,260,256360
529,960,507840
908,826,750008
87,322,28014
909,817,742653
754,786,592644
386,340,131240
857,207,177399
540,711,383940
144,829,119376
711,968,688248
872,867,756024
186,976,181536
671,343,230153
208,582,121056
301,20,6020
450,365,164250
498,388,193224
837,697,583389
544,467,254048
877,927,812979
124,856,106144
622,42,26124
18,812,14616
444,39,17316
4,227,908
657,833,547281
89,141,12549
893,608,542944
686,482,330652
758,216,163728
975,405,394875
283,725,205175
486,1,486
192,305,58560
101,396,39996
338,773,261274
12,974,11688
640,732,468480
728,7,5096
773,542,418966
81,973,78813
549,339,186111
283,61,17263
152,846,128592
947,492,465924
109,273,29757
313,956,299228
586,454,266044
604,315,190260
959,525,503475
114,236,26904
179,145,25955
455,277,126035
463,255,118065
495,279,138105
299,388,116012
959,28,26852
332,52,17264
243,668,162324
807,195,157365
955,489,466995
246,521,128166
10,553,5530
402,684,274968
417,8,3336
22,826,18172
144,248,35712
254,132,33528
745,420,312900
30,949,28470
278,211,58658
57,331,18867
568,216,122688
208,446,92768
215,944,202960
932,292,272144
641,569,364729
577,27,15579
607,421,255547
686,347,238042
547,124,67828
822,896,736512
186,709,131874
942,40,37680
740,543,401820
925,5,4625
679,216,146664
901,526,473926
268,641,171788
126,180,22680
689,969,667641
411,533,219063
535,639,341865
877,807,707739
978,985,963330
876,361,316236
964,906,873384
34,525,17850
728,149,108472
64,14,896
887,867,769029
33,890,29370
425,43,18275
224,380,85120
491,780,382980
244,137,33428
875,521,455875
20,459,9180
849,411,348939
884,811,716924
448,782,350336
990,683,676170
690,252,173880
46,417,19182
100,873,87300
273,653,178269
586,122,71492
792,42,33264
316,993,313788
206,479,98674
676,239,161564
109,592,64528
541,619,334879
232,100,23200
507,815,413205
179,715,127985
606,32,19392
854,697,595238
901,736,663136
154,567,87318
210,185,38850
433,146,63218
384,577,221568
463,610,282430
892,381,339852
331,809,267779
559,328,183352
387,493,190791
949,810,768690
181,382,69142
762,360,274320
933,864,806112
685,441,302085
283,85,24055
635,187,118745
694,541,375454
675,786,530550
602,329,198058
147,830,122010
461,770,354970
775,852,660300
184,26,4784
427,20,8540
501,221,110721
320,165,52800
622,41,25502
244,826,201544
172,252,43344
10,33,330
372,477,177444
283,666,188478
213,209,44517
342,163,55746
921,562,517602
544,217,118048
871,6,5226
392,449,176008
942,930,876060
93,149,13857
323,519,167637
3,129,387
486,946,459756
670,608,407360
752,690,518880
516,62,31992
154,37,5698
371,459,170289
715,655,468325
804,7,5628
969,828,802332
622,795,494490
64,837,53568
609,930,566370
744,644,479136
407,229,93203
195,191,37245
728,359,261352
478,324,154872
33,638,21054
441,781,344421
754,478,360412
363,406,147378
917,728,667576
340,777,264180
457,414,189198
504,415,209160
279,659,183861
340,659,224060
927,879,814833
301,14,4214
196,785,153860
835,949,792415
151,881,133031
429,588,252252
683,868,592844
536,557,298552
342,612,209304
348,397,138156
407,279,113553
979,684,669636
410,374,153340
878,171,150138
66,325,21450
688,220,151360
313,207,64791
449,37,16613
540,149,80460
825,22,18150
393,358,140694
834,123,102582
58,287,16646
967,434,419678
131,693,90783
163,821,133823
708,635,449580
802,418,335236
736,154,113344
680,532,361760
814,970,789580
982,428,420296
812,1,812
535,595,318325
499,410,204590
300,955,286500
899,193,173507
914,723,660822
712,759,540408
835,552,460920
263,973,255899
65,523,33995
61,997,60817
974,930,905820
535,792,423720
507,261,132327
212,680,144160
7,279,1953
901,985,887485
727,765,556155
46,624,28704
210,42,8820
615,54,33210
775,630,488250
829,48,39792
185,748,138380
191,855,163305
710,510,362100
833,985,820505
221,608,134368
185,51,9435
655,711,465705
429,348,149292
896,910,815360
583,593,345719
809,891,720819
343,645,221235
453,333,150849
10,742,7420
799,901,719899
667,817,544939
225,216,48600
502,504,253008
17,114,1938
681,435,296235
346,461,159506
637,313,199381
925,768,710400
610,35,21350
554,1,554
134,29,3886
873,99,86427
129,466,60114
491,367,180197
891,71,63261
205,529,108445
18,780,14040
86,771,66306
408,160,65280
922,453,417666
781,83,64823
797,17,13549
667,533,355511
990,532,526680
879,982,863178
988,462,456456
870,604,525480
278,993,276054
931,693,645183
177,13,2301
905,935,846175
509,523,266207
331,613,202903
655,804,526620
973,220,214060
724,49,35476
594,145,86130
921,774,712854
671,690,462990
863,253,218339
282,835,235470
407,255,103785
988,212,209456
888,15,13320
819,436,357084
427,708,302316
667,352,234784
783,796,623268
179,664,118856
368,194,71392
683,796,543668
115,897,103155
717,27,19359
544,952,517888
58,972,56376
843,23,19389
605,219,132495
773,954,737442
490,397,194530
802,520,417040
839,627,526053
689,403,277667
601,67,40267
758,838,635204
290,992,287680
181,867,156927
717,424,304008
706,723,510438
901,317,285617
711,894,635634
548,29,15892
38,280,10640
6,136,816
501,452,226452
62,677,41974
82,53,4346
415,331,137365
740,971,718540
904,697,630088
260,586,152360
102,67,6834
169,780,131820
358,906,324348
544,349,189856
843,86,72498
518,857,443926
796,712,566752
270,653,176310
468,949,444132
679,92,62468
587,995,584065
806,114,91884
554,105,58170
673,868,584164
466,952,443632
485,917,444745
841,119,100079
618,990,611820
939,660,619740
712,602,428624
520,447,232440
757,395,299015
45,417,18765
549,428,234972
781,849,663069
78,802,62556
652,420,273840
42,565,23730
355,717,254535
138,987,136206
680,801,544680
220,954,209880
228,25,5700
559,279,155961
765,98,74970
244,444,108336
616,612,376992
446,747,333162
512,468,239616
84,164,13776
734,201,147534
162,930,150660
9,624,5616
276,753,207828
777,725,563325
338,459,155142
779,848,660592
111,88,9768
535,938,501830
496,862,427552
614,275,168850
267,427,114009
817,667,544939
197,139,27383
109,658,71722
430,239,102770
575,683,392725
252,653,164556
108,983,106164
976,299,291824
493,343,169099
853,111,94683
748,797,596156
105,766,80430
100,613,61300
77,131,10087
212,932,197584
123,706,86838
843,977,823611
147,534,78498
162,298,48276
843,648,546264
948,885,838980
739,552,407928
925,788,728900
808,485,391880
502,815,409130
109,624,68016
703,500,351500
629,65,40885
277,819,226863
930,410,381300
442,49,21658
619,915,566385
744,604,449376
632,400,252800
704,857,603328
147,359,52773
437,291,127167
513,829,425277
813,561,456093
921,813,748773
51,638,32538
509,713,362917
788,607,478316
218,215,46870
636,906,576216
901,108,97308
196,870,170520
440,632,278080
996,862,858552
308,43,13244
516,661,341076
574,581,333494
753,582,438246
33,955,31515
838,971,813698
602,43,25886
323,815,263245
482,260,125320
767,753,577551
912,262,238944
815,339,276285
477,978,466506
988,61,60268
14,712,9968
881,244,214964
302,996,300792
646,364,235144
373,608,226784
970,288,279360
411,141,57951
358,476,170408
906,290,262740
441,990,436590
147,932,137004
644,617,397348
798,674,537852
366,315,115290
576,854,491904
91,431,39221
346,939,324894
119,264,31416
723,793,573339
584,986,575824
475,693,329175
177,494,87438
632,728,460096
345,985,339825
763,648,494424
419,961,402659
280,783,219240
763,774,590562
95,918,87210
471,6,2826
410,301,123410
502,76,38152
631,754,475774
485,410,198850
25,541,13525
919,11,10109
769,15,11535
890,77,68530
614,327,200778
774,972,752328
320,356,113920
22,304,6688
306,298,91188
793,482,382226
642,38,24396
934,461,430574
239,339,81021
978,361,353058
383,701,268483
759,512,388608
550,923,507650
543,651,353493
368,39,14352
629,217,136493
34,803,27302
693,973,674289
7,865,6055
247,201,49647
73,312,22776
880,208,183040
488,363,177144
765,493,377145
65,857,55705
373,423,157779
712,934,665008
544,586,318784
848,216,183168
327,905,295935
344,465,159960
168,45,7560
388,405,157140
712,556,395872
705,317,223485
19,855,16245
672,218,146496
877,677,593729
633,276,174708
679,7,4753
996,609,606564
858,863,740454
872,166,144752
68,444,30192
574,939,538986
287,781,224147
2,672,1344
373,478,178294
463,683,316229
926,998,924148
36,381,13716
325,12,3900
362,841,304442
506,244,123464
18,977,17586
622,697,433534
813,269,218697
130,394,51220
571,505,288355
554,222,122988
846,958,810468
966,270,260820
489,966,472374
495,849,420255
712,38,27056
851,824,701224
705,858,604890
559,601,335959
340,886,301240
638,478,304964
647,231,149457
305,854,260470
477,136,64872
719,532,382508
50,554,27700
298,634,188932
779,364,283556
714,221,157794
191,236,45076
569,555,315795
646,54,34884
296,115,34040
255,42,10710
763,496,378448
652,214,139528
454,283,128482
856,988,845728
374,796,297704
208,547,113776
825,729,601425
420,773,324660
979,860,841940
861,639,550179
821,47,38587
745,50,37250
533,521,277693
442,945,417690
719,379,272501
116,538,62408
159,568,90312
813,346,281298
2,873,1746
248,662,164176
497,950,472150
555,205,113775
586,757,443602
324,802,259848
494,846,417924
93,812,75516
277,718,198886
794,664,527216
763,51,38913
582,551,320682
354,476,168504
119,943,112217
742,879,652218
526,489,257214
105,897,94185
618,808,499344
868,395,342860
226,417,94242
342,331,113202
908,51,46308
562,182,102284
172,272,46784
699,504,352296
86,373,32078
893,657,586701
275,750,206250
418,110,45980
118,540,63720
839,648,543672
101,268,27068
817,197,160949
803,923,741169
81,389,31509
196,79,15484
980,757,741860
333,766,255078
943,54,50922
70,902,63140
391,14,5474
770,480,369600
346,952,329392
561,440,246840
178,432,76896
204,752,153408
423,827,349821
357,319,113883
512,360,184320
322,607,195454
502,790,396580
600,902,541200
689,797,549133
23,832,19136
25,287,7175
456,804,366624
570,870,495900
909,533,484497
980,192,188160
848,538,456224
99,404,39996
867,151,130917
873,417,364041
479,118,56522
254,631,160274
200,349,69800
848,907,769136
17,886,15062
503,746,375238
185,48,8880
123,712,87576
584,172,100448
252,291,73332
454,389,176606
734,107,78538
51,87,4437
975,416,405600
599,518,310282
322,593,190946
527,198,104346
739,17,12563
450,62,27900
380,956,363280
37,918,33966
49,547,26803
863,65,56095
163,501,81663
27,251,6777
933,29,27057
47,5,235
74,138,10212
502,979,491458
647,678,438666
846,370,313020
795,331,263145
169,913,154297
979,643,629497
921,508,467868
301,93,27993
624,86,53664
115,117,13455
209,14,2926
612,644,394128
292,533,155636
503,975,490425
591,38,22458
427,663,283101
863,635,548005
883,552,487416
175,616,107800
862,606,522372
761,4,3044
295,12,3540
610,643,392230
592,659,390128
897,462,414414
984,115,113160
650,680,442000
65,149,9685
572,276,157872
759,314,238326
573,728,417144
237,504,119448
919,946,869374
644,228,146832
663,104,68952
844,705,595020
755,270,203850
237,892,211404
30,36,1080
788,796,627248
957,751,718707
543,478,259554
128,232,29696
721,340,245140
665,619,411635
928,375,348000
688,384,264192
980,487,477260
186,625,116250
806,945,761670
418,46,19228
542,808,437936
446,203,90538
64,154,9856
368,184,67712
674,117,78858
957,345,330165
569,569,323761
6,919,5514
714,860,614040
815,672,547680
546,912,497952
691,707,488537
931,223,207613
410,85,34850
435,793,344955
224,463,103712
925,489,452325
704,955,672320
461,193,88973
747,980,732060
10,833,8330
414,755,312570
735,221,162435
882,735,648270
23,119,2737
783,233,182439
376,119,44744
693,763,528759
167,897,149799
321,154,49434
523,912,476976
205,159,32595
45,643,28935
16,466,7456
557,663,369291
174,90,15660
878,730,640940
474,969,459306
982,318,312276
404,215,86860
95,798,75810
59,199,11741
302,195,58890
87,887,77169
462,831,383922
907,992,899744
607,201,122007
200,20,4000
236,189,44604
219,327,71613
354,673,238242
900,205,184500
211,488,102968
615,385,236775
978,546,533988
214,992,212288
467,401,187267
108,444,47952
184,81,14904
770,140,107800
418,729,304722
583,615,358545
988,792,782496
1,460,460
532,613,326116
516,713,367908
817,346,282682
299,497,148603
368,688,253184
715,707,505505
588,105,61740
272,897,243984
355,716,254180
717,281,201477
608,134,81472
446,688,306848
491,532,261212
821,693,568953
308,717,220836
526,754,396604
101,961,97061
207,266,55062
615,567,348705
967,359,347153
10,592,5920
733,695,509435
265,942,249630
164,24,3936
898,419,376262
191,561,107151
555,27,14985
850,97,82450
142,13,1846
109,260,28340
294,955,280770
876,140,122640
965,43,41495
668,62,41416
26,402,10452
136,439,59704
829,73,60517
270,755,203850
657,242,158994
422,483,203826
234,710,166140
443,973,431039
232,884,205088
916,283,259228
684,401,274284
641,509,326269
179,209,37411
235,748,175780
253,4,1012
693,636,440748
979,893,874247
403,344,138632
13,352,4576
873,999,872127
792,459,363528
511,745,380695
629,64,40256
820,114,93480
715,804,574860
893,672,600096
59,430,25370
910,834,758940
812,861,699132
790,682,538780
896,521,466816
181,610,110410
994,465,462210
996,825,821700
476,243,115668
637,486,309582
435,675,293625
368,181,66608
783,429,335907
69,267,18423
220,841,185020
459,987,453033
920,464,426880
839,527,442153
500,38,19000
723,454,328242
147,494,72618
798,267,213066
540,632,341280
524,324,169776
552,368,203136
365,188,68620
494,768,379392
884,386,341224
525,765,401625
905,90,81450
219,27,5913
787,497,391139
717,584,418728
263,624,164112
628,296,185888
348,285,99180
884,544,480896
996,766,762936
79,356,28124
875,257,224875
86,800,68800
761,663,504543
417,475,198075
235,371,87185
214,869,185966
249,870,216630
289,656,189584
185,79,14615
636,649,412764
446,346,154316
986,807,795702
949,704,668096
304,348,105792
989,461,455929
773,914,706522
651,565,367815
970,48,46560
941,99,93159
900,934,840600
869,148,128612
447,57,25479
843,152,128136
851,228,194028
58,429,24882
507,896,454272
325,56,18200
353,508,179324
583,384,223872
936,283,264888
27,381,10287
979,137,134123
791,403,318773
679,374,253946
265,281,74465
660,606,399960
107,654,69978
445,768,341760
860,990,851400
977,654,638958
301,697,209797
808,416,336128
662,361,238982
594,49,29106
33,716,23628
345,283,97635
377,108,40716
404,474,191496
647,644,416668
557,911,507427
544,545,296480
530,806,427180
716,382,273512
16,111,1776
829,754,625066
119,150,17850
346,941,325586
773,780,602940
188,309,58092
442,861,380562
784,92,72128
436,945,412020
798,486,387828
272,741,201552
154,148,22792
343,861,295323
378,280,105840
242,737,178354
245,431,105595
195,57,11115
941,808,760328
428,747,319716
177,572,101244
276,344,94944
48,774,37152
100,381,38100
959,534,512106
248,480,119040
634,401,254234
264,497,131208
501,596,298596
830,769,638270
521,663,345423
535,541,289435
130,160,20800
560,232,129920
228,241,54948
43,357,15351
911,302,275122
618,751,464118
658,828,544824
280,23,6440
983,542,532786
191,848,161968
693,391,270963
314,573,179922
536,215,115240
715,921,658515
65,251,16315
146,988,144248
173,646,111758
116,463,53708
226,903,204078
891,109,97119
774,730,565020
238,56,13328
660,370,244200
419,595,249305
462,473,218526
85,712,60520
607,207,125649
92,938,86296
112,669,74928
820,548,449360
723,918,663714
609,708,431172
823,37,30451
984,146,143664
650,504,327600
605,749,453145
545,592,322640
750,330,247500
880,627,551760
990,316,312840
977,485,473845
662,902,597124
147,834,122598
797,745,593765
413,372,153636
622,669,416118
714,527,376278
806,314,253084
343,791,271313
619,30,18570
316,557,176012
36,422,15192
940,777,730380
896,2,1792
939,330,309870
277,486,134622
94,681,64014
997,578,576266
502,490,245980
762,483,368046
416,936,389376
724,248,179552
457,309,141213
760,675,513000
494,514,253916
725,160,116000
363,2,726
964,329,317156
133,907,120631
696,721,501816
363,602,218526
250,242,60500
635,697,442595
995,398,396010
724,829,600196
372,396,147312
997,527,525419
734,511,375074
768,615,472320
132,863,113916
204,659,134436
499,609,303891
749,838,627662
875,620,542500
31,571,17701
486,109,52974
165,607,100155
212,882,186984
96,454,43584
222,113,25086
39,837,32643
64,545,34880
535,332,177620
221,741,163761
434,477,207018
980,739,724220
393,398,156414
468,704,329472
745,586,436570
835,838,699730
643,978,628854
866,461,399226
185,214,39590
940,802,753880
704,163,114752
459,957,439263
265,80,21200
966,426,411516
53,533,28249
522,575,300150
524,765,400860
927,243,225261
658,176,115808
2,697,1394
654,971,635034
854,772,659288
513,335,171855
816,183,149328
180,34,6120
756,543,410508
433,690,298770
32,885,28320
161,42,6762
285,623,177555
636,497,316092
644,516,332304
757,571,432247
498,644,320712
587,61,35807
98,204,19992
549,610,334890
364,906,329784
650,702,456300
336,518,174048
122,985,120170
474,856,405744
724,489,354036
376,727,273352
773,866,669418
276,683,188508
831,188,156228
473,343,162239
141,327,46107
990,225,222750
384,226,86784
183,813,148779
1,351,351
794,481,381914
586,109,63874
595,828,492660
570,374,213180
16,197,3152
861,498,428778
429,787,337623
378,21,7938
818,180,147240
838,913,765094
999,574,573426
982,495,486090
809,890,720010
498,569,283362
316,103,32548
693,698,483714
784,443,347312
382,618,236076
131,12,1572
647,190,122930
804,179,143916
897,743,666471
834,955,796470
445,411,182895
551,892,491492
978,389,380442
928,643,596704
186,541,100626
786,168,132048
997,588,586236
930,806,749580
841,93,78213
14,287,4018
974,752,732448
337,138,46506
933,466,434778
976,911,889136
916,425,389300
293,604,176972
112,218,24416
609,949,577941
743,727,540161
231,116,26796
652,49,31948
468,61,28548
480,52,24960
908,816,740928
483,562,271446
506,339,171534
635,67,42545
642,745,478290
28,230,6440
453,562,254586
621,802,498042
52,524,27248
556,788,438128
237,877,207849
975,735,716625
992,795,788640
375,597,223875
14,388,5432
19,275,5225
785,421,330485
